image_path,x,y,width,height,cluster
6.bmp,199,18,172,368,1
7.bmp,308,97,154,287,1
8.bmp,130,28,98,264,1
9.bmp,213,6,129,342,1
1.bmp,211,146,165,104,0
10.bmp,107,182,336,254,0
11.bmp,156,186,303,244,0
2.bmp,122,113,151,106,0
1.bmp,252,80,74,147,1
10.bmp,167,51,113,315,1
11.bmp,291,14,105,338,1
2.bmp,144,62,83,146,1
3.bmp,86,114,271,138,0
4.bmp,67,167,395,217,0
5.bmp,20,150,312,151,0
6.bmp,61,198,434,238,0
7.bmp,194,240,363,206,0
8.bmp,43,165,285,143,0
9.bmp,59,180,410,198,0
3.bmp,160,14,77,223,1
4.bmp,183,4,118,324,1
5.bmp,127,22,86,264,1
